Time,Forecast (MW),Lower Bound (MW),Upper Bound (MW),Confidence
2025-12-30 00:00,32609,27718,37500,High
2025-12-30 01:00,32553,27670,37436,High
2025-12-30 02:00,32486,27613,37359,High
2025-12-30 03:00,32426,27562,37290,High
2025-12-30 04:00,32408,27547,37270,High
2025-12-30 05:00,33042,28085,37998,High
2025-12-30 06:00,33219,28236,38202,High
2025-12-30 07:00,33423,28410,38437,High
2025-12-30 08:00,33155,28182,38129,High
2025-12-30 09:00,32540,27659,37422,High
2025-12-30 10:00,31829,27055,36604,High
2025-12-30 11:00,31333,26633,36033,High
2025-12-30 12:00,30838,26212,35464,High
2025-12-30 13:00,30649,26051,35246,High
2025-12-30 14:00,31044,26388,35701,High
2025-12-30 15:00,31902,27117,36687,High
2025-12-30 16:00,32818,27895,37741,High
2025-12-30 17:00,33654,28606,38702,High
2025-12-30 18:00,34036,28931,39142,High
2025-12-30 19:00,34087,28974,39200,High
2025-12-30 20:00,33889,28806,38973,High
2025-12-30 21:00,32890,27957,37824,High
2025-12-30 22:00,32947,28005,37889,High
2025-12-30 23:00,32807,27886,37728,High
